country_code,year,gdp_per_capita,inflation,unemployment,gdp_growth,fiscal_balance,current_account
CZE,1993,3984.1463439879,20.8130295438428,4.349,0.0619042423607254,0.142605819656653,1.1330967168381
CZE,1994,4663.28665345469,10.039429835143,4.284,2.90930948412982,-1.12334654402663,-1.70139298961709
CZE,1995,5865.29460556726,8.99052361478448,4.082,6.22140598863832,-14.2265663343475,-2.26757320329168
CZE,1996,6573.19643136362,8.75877472878111,3.852,4.16858426915319,-5.27509078778369,-6.08746771318312
CZE,1997,6069.38762357837,8.59615666715564,4.674,-0.595838414214853,-2.65463021766798,-5.79107713467812
CZE,1998,6526.59635780951,10.6983655274888,6.455,-0.393150193750415,-4.60831469087328,-1.94722596154938
CZE,1999,6377.6211077224,2.13544844417329,8.702,1.37836060943835,-3.22272331322843,-2.23483455253069
CZE,2000,6062.92152842793,3.77538829151729,8.764,4.010669619984,-3.02704504729758,-4.3260595580812
CZE,2001,6669.07494847497,4.66267556988257,8.128,2.9172195289956,-5.32768888713963,-4.80305110479948
CZE,2002,8101.26018588111,1.90298097019026,7.28,1.51345949139996,-5.97393348631486,-5.16274750389644
CZE,2003,9852.45677945801,0.118739205526814,7.777,3.300836832613,-6.45969906081363,-5.76037419921863
CZE,2004,11782.5546676117,2.76010781671153,8.298,4.73633969683438,-2.37057274537637,-3.70977039606132
CZE,2005,13442.4916284309,1.85709789109228,7.927,6.37502886086791,-2.97592240579499,-2.0469317715426
CZE,2006,15259.0788162004,2.53399258343633,7.141,6.62317299177447,-1.86241662068317,-2.55771892805224
CZE,2007,18452.6532812196,2.8531243721117,5.316,5.48882595164517,-0.959620435359481,-4.70721210136984
CZE,2008,22774.7045076205,6.3586638015237,4.392,2.61226807205139,-1.80839238709281,-1.86377838067906
CZE,2009,19817.4215836554,1.01937735329229,6.662,-4.79832416684926,-4.82959722519677,-2.35286468331655
CZE,2010,20160.4355077059,1.47272727272728,7.281,2.71466509907701,-3.76756281750936,-3.48120039690542
CZE,2011,22049.1080788682,1.9172191363555,6.712,1.77238085338473,-2.43668741781848,-2.1691537824734
CZE,2012,20014.0354015165,3.28762306610411,6.979,-0.770668190622743,-3.86670894860268,-1.501449440317
CZE,2013,20260.4954999375,1.4382978723404,6.953,-0.0418124160447491,-1.58958563553802,-0.519137991701544
CZE,2014,20038.4163180257,0.343988589646793,6.108,2.24521219862635,-2.26878036067228,0.217020094001342
CZE,2015,17931.5987670768,0.309364548494975,5.048,4.95875848915604,-1.22444732838573,0.446971205922034
CZE,2016,18753.9686718096,0.683504209385702,3.952,2.58087013921376,-0.340881638148019,1.74734921729713
CZE,2017,20913.197632212,2.4505339846014,2.893,5.17356529967881,0.650873933069516,1.35301705500193
CZE,2018,23705.9329811299,2.14949494949492,2.246,2.83030588267866,0.451333537748917,0.451859774047593
CZE,2019,24062.7190013343,2.84787595918041,2.015,3.56577658128261,-0.355654031359842,0.356195094422181
CZE,2020,23472.8915454417,3.1612952849781,2.55,-5.30487955463876,-6.11375357350097,1.7852008079583
CZE,2021,27696.4619527544,3.83984491500146,2.803,4.02901832055149,-5.83047375809619,-2.04624111898244
CZE,2022,28282.2236715857,15.100165146837,2.224,2.8471706583814,-3.9916185712308,-4.52048439437013
CZE,2023,31761.5944102491,10.6612601372427,2.579,0.0475803308973752,-4.57490578883775,-0.125406557037842
CZE,2024,31823.3078290564,2.43531202435314,2.6,1.23308611983484,-2.76750793592479,1.74244358000018
DEU,1990,22385.6778250275,2.69646824292392,,5.25500610110028,-0.511312838409292,2.61258287267843
DEU,1991,23443.3350818536,4.04703259753466,5.316,5.10826150190911,-2.37658722928356,-1.19301223274731
DEU,1992,26559.8543879632,5.0569779673173,6.323,2.01361340926105,-1.58173917620432,-0.983554177100667
DEU,1993,25616.6508772405,4.47457650752808,7.675,-0.973033082340891,-1.81677990599429,-0.77819069062652
DEU,1994,27201.9593555204,2.69305639854954,8.727,2.59685569693275,-1.08388374446415,-1.32150809446364
DEU,1995,31747.2449398447,1.70616041317076,8.158,1.50499384201356,-7.84986815303722,-1.06756701779392
DEU,1996,30599.7891048363,1.44972701963238,8.822,1.0378755674358,-2.15388683784793,-0.492213210288898
DEU,1997,27046.9565464237,1.93937198922729,9.861,1.85432238398302,-1.54825689565774,-0.355877126875177
DEU,1998,27395.9440608051,0.911183535014403,9.787,2.09561231172233,-1.75917638739857,-0.474729135736975
DEU,1999,26965.4922773722,0.585433064230783,8.854,2.12957016297766,-1.24068475477075,-1.16769718086738
DEU,2000,23925.8559901991,1.44026838719741,7.917,2.8765231247659,-1.16769813021797,-1.5131310276989
